@relation example2

@attribute a1 real
@attribute a2 real
@attribute a3 real
@attribute class {1,2}

@data
-0.392082,-0.945391,-1.487584,1
1.173625,4.459420,0.236927,1
0.901210,-3.865124,0.988335,1
-1.362039,-0.276721,1.303460,1
1.601836,0.722188,-0.309014,1
0.254635,-2.326301,1.358197,1
2.823415,3.407571,0.234123,1
0.470002,-1.198239,1.838895,1
0.032284,2.680818,1.850653,1
0.672347,0.540612,-0.028015,1
2.797041,3.265899,1.538308,1
1.683343,4.808957,-0.596236,1
-0.551529,3.000886,2.721237,1
-1.171479,5.021530,-1.459454,1
0.272448,-3.485059,3.698543,1
0.633372,-0.817091,1.242868,1
0.836904,0.444500,0.002147,1
1.853952,-0.938054,1.331875,1
0.951521,4.049283,0.509338,1
0.889999,0.487001,0.607807,1
0.857082,0.579250,1.486155,1
2.185236,2.153454,1.285358,1
1.745015,5.159126,2.603322,1
1.481664,4.541003,0.715056,1
1.052398,-0.223114,1.721003,1
-1.020891,5.482452,1.346967,1
0.037396,-0.307973,1.758838,1
0.162476,2.286627,0.750789,1
1.568228,-3.734806,2.988237,1
2.532515,-0.704365,0.702276,1
1.656631,0.877890,-0.486807,1
1.493787,5.374551,1.239369,1
0.789782,5.051742,2.142676,1
2.432479,2.714378,1.873594,1
0.622296,-0.187363,1.381655,1
2.702500,0.388405,0.780680,1
0.243068,-0.387366,0.066308,1
-1.250793,-1.761787,1.460205,1
0.829720,-2.361142,3.459687,1
0.396772,1.766614,3.012947,1
0.249147,6.371533,1.460720,1
0.634013,-3.300315,1.797571,1
0.745403,3.342734,1.056225,1
0.408477,5.920721,0.508425,1
1.696558,2.316448,1.559737,1
0.723250,6.898248,0.396410,1
0.817244,2.016241,0.366012,1
0.554214,0.022469,2.750073,1
-0.081044,0.728384,-0.133525,1
-1.849595,1.945139,-0.264613,1
-0.063395,0.291686,-0.294636,1
0.642301,4.060460,2.676117,1
2.173264,3.173608,1.367938,1
1.546801,-1.432131,0.759989,1
1.020870,4.698988,1.668192,1
0.037213,-3.005157,2.432478,1
0.001094,2.789193,0.532512,1
-0.434115,-0.446544,0.531016,1
1.750737,-0.876949,0.136651,1
2.531325,1.312767,0.249222,1
2.676299,6.703171,0.888527,1
2.113198,1.868861,1.762683,1
0.954046,1.086882,0.233759,1
0.123139,-0.040408,2.003437,1
-1.340894,2.126917,0.883670,1
3.349405,6.961972,0.799221,1
0.387809,-1.733928,0.422618,1
1.092197,0.308654,-0.056013,1
1.334756,0.579547,0.364622,1
0.211370,0.762037,0.595344,1
1.276535,1.415738,-0.423071,1
2.333508,1.574724,1.319164,1
1.007937,5.029431,1.953266,1
1.721567,4.205853,-0.084264,1
1.749729,3.166964,0.279506,1
0.947098,1.137400,1.207391,1
1.090292,0.227094,0.799101,1
0.877494,2.212174,0.176242,1
1.186889,-1.685790,3.371716,1
0.142517,-1.158232,2.939949,1
1.850201,1.027749,0.084296,1
1.820348,4.228221,0.854616,1
0.242845,6.920480,1.091095,1
1.107598,-0.573703,0.516182,1
2.041182,-0.533255,-0.500802,1
-0.362016,-0.544220,0.015167,1
1.833669,0.929103,1.230727,1
-0.505091,3.313915,1.531461,1
1.547439,2.289957,0.872939,1
1.206029,4.313119,0.083181,1
2.509683,6.626626,0.096466,1
1.492602,0.729771,1.267141,1
2.055949,1.771802,3.132296,1
3.103639,-2.469221,-1.083227,1
-0.248635,2.295412,0.342046,1
0.235928,-1.725178,1.169065,1
1.165310,3.714915,0.708641,1
2.015442,1.088445,0.714985,1
2.165601,-2.603566,1.866290,1
3.315050,2.319183,-0.050385,1
-0.583923,1.834011,1.116893,1
0.042046,-2.610582,-0.623780,1
0.211588,0.256189,2.977221,1
2.526939,5.547555,-1.415960,1
1.687731,-3.036187,1.931126,1
1.655212,-1.365680,0.622666,1
1.498822,4.924573,0.515247,1
0.027299,-1.233141,0.605707,1
1.639683,4.645167,-0.313706,1
0.991634,1.696309,-0.061054,1
2.464330,2.252583,1.345707,1
1.470996,3.449066,1.798631,1
0.636551,2.483181,2.248344,1
0.991844,0.778994,-1.255263,1
1.212466,1.561541,1.860242,1
0.821225,-0.861509,1.709274,1
0.977473,4.302685,1.431081,1
3.560561,1.268897,0.813213,1
0.776150,-2.028004,2.067138,1
2.078532,-1.849290,-0.215923,1
0.814331,-5.519026,0.593265,1
0.381545,-0.545560,-0.017395,1
1.141134,4.460997,1.800879,1
1.358087,-1.871838,1.966560,1
2.181140,-4.691984,0.613693,1
1.707569,0.109135,-0.714914,1
0.409952,-1.553952,1.235960,1
0.515858,1.495109,-0.146506,1
0.899760,-1.051435,2.313506,1
1.477810,0.682076,1.252546,1
0.768911,0.133624,-0.243782,1
0.432165,2.471246,3.064593,1
2.160065,0.495859,0.862475,1
0.907447,6.487015,1.933734,1
0.616649,-3.478835,1.591909,1
1.194021,1.896359,0.737761,1
-0.268662,-0.642618,0.261619,1
0.541451,-1.690559,2.677831,1
-1.704373,-2.469513,0.741802,1
1.170851,4.733876,3.143269,1
1.453645,0.084674,1.843853,1
1.002632,6.316905,1.475750,1
1.336232,5.652280,-0.043940,1
1.031158,4.286862,1.857243,1
3.370145,4.744028,0.968362,1
1.555176,-1.315311,0.990185,1
1.301948,0.944744,-0.359199,1
0.183060,2.843301,-0.818059,1
1.561623,3.244504,0.530768,1
1.788834,1.567066,0.498661,1
1.438532,0.411219,2.624258,1
2.138188,3.634244,0.884013,1
0.512440,-2.062074,0.136119,1
-0.562620,-5.830596,0.009388,1
0.349911,-3.222360,-0.631545,1
0.431262,1.801280,-1.109267,1
1.116037,6.114870,1.213118,1
0.323633,0.060298,0.662198,1
0.908120,-0.924544,2.184845,1
1.633142,4.912459,0.359771,1
1.768732,1.943406,1.866649,1
0.109115,4.681656,1.374262,1
0.377417,0.188355,1.679305,1
1.884672,0.749959,1.821989,1
0.653210,5.320974,-0.262601,1
0.476491,2.097053,1.994961,1
3.908062,5.035371,1.392577,1
0.744195,-0.873538,0.905003,1
0.814493,-0.411741,1.268972,1
1.138608,5.415808,2.084364,1
0.483199,4.457233,0.585739,1
0.003178,1.064841,3.061337,1
-0.396761,1.042181,-2.252588,1
0.218247,-2.470238,-0.102587,1
1.071281,3.979011,0.229769,1
2.215244,3.513027,1.429737,1
2.655435,-3.018965,2.270195,1
1.226050,0.653493,0.923999,1
0.922338,4.231169,0.605099,1
0.179407,5.127198,0.603404,1
0.624257,-1.392164,0.640338,1
1.730867,3.308028,0.461576,1
-2.075559,1.183306,1.843527,1
1.378442,-2.513956,2.780820,1
1.340122,5.362268,1.266703,1
-0.498637,1.632672,1.679841,1
1.991471,2.886975,-0.417108,1
0.514099,1.002936,0.512678,1
1.547985,1.239835,1.149941,1
1.483908,5.036527,0.587332,1
0.400434,3.078479,0.530661,1
0.156521,-0.160735,1.075337,1
1.658545,4.703560,2.406125,1
2.185961,5.750749,0.221183,1
0.411781,2.817467,2.189015,1
1.845779,3.609188,1.112791,1
0.949696,-0.907102,0.840198,1
1.993246,2.104004,0.432259,1
-0.887663,1.033976,-0.668029,1
2.122007,3.748578,1.478896,1
-0.195751,1.049742,1.230281,1
0.103101,-2.227068,0.416024,1
-0.284388,-2.503065,2.016006,1
2.475550,-0.875084,2.879083,1
1.679587,3.626830,0.073991,1
-0.466994,-3.454908,1.428770,1
1.010178,-0.768483,0.148132,1
1.572106,-0.840069,-0.214517,1
1.130343,-0.361658,0.072234,1
1.589614,4.504981,-0.653176,1
-0.636025,5.191414,1.560782,1
1.873403,2.797730,1.079511,1
0.910069,5.827544,1.265918,1
-0.060868,-0.479963,0.026407,1
2.797879,2.889125,2.085282,1
2.668635,3.259885,1.523135,1
1.001169,6.363413,1.025539,1
1.205285,0.308637,1.546345,1
1.229883,1.590193,1.095860,1
1.908082,2.702297,1.159014,1
0.941174,-3.702283,1.355072,1
0.533967,0.477808,1.869206,1
0.755875,0.175019,1.519758,1
2.991008,1.274990,3.128714,1
1.812581,3.658958,0.136949,1
1.432426,4.392905,1.445356,1
-0.300666,2.953990,0.566912,1
0.360629,-6.175210,3.248768,1
2.567918,-4.391023,1.329379,1
0.400249,0.532326,1.450562,1
1.579784,8.186182,-0.718604,1
1.343971,-3.037373,0.502631,1
0.422237,-0.628663,1.865040,1
1.116617,-0.729662,0.426182,1
0.146806,2.804163,2.248938,1
2.091323,-2.537799,0.252657,1
1.427672,3.831977,-0.228217,1
1.691785,8.404615,3.198591,1
0.682211,5.792131,0.673183,1
1.114726,-5.235893,1.633466,1
2.722416,1.969659,1.416485,1
-0.729114,3.090372,0.986760,1
-0.998563,-3.772375,2.680732,1
2.570188,-1.004899,0.206496,1
0.586618,3.426375,0.047012,1
1.842481,-1.752380,0.864875,1
2.044583,-0.557793,1.377346,1
0.125658,-3.744694,0.765890,1
0.575208,1.751904,0.258235,1
2.109812,1.205333,0.081642,1
-0.335992,3.537100,2.437219,1
2.902755,6.146931,-1.169535,1
1.351475,0.591306,0.224953,1
2.588562,-0.043797,1.115649,1
2.527853,-0.309015,1.875234,1
0.521327,-0.179307,1.046390,1
-0.466265,8.099441,1.548609,1
-0.809921,-0.271605,0.280692,1
0.668488,4.708124,1.004711,1
-1.525021,0.067541,1.776954,1
1.544655,-2.457410,1.303809,1
0.037365,2.681406,1.719013,1
2.375564,-1.717585,3.291815,1
1.444000,-0.614771,1.140353,1
1.236004,-1.367821,0.337090,1
1.727707,-2.116550,1.662939,1
1.848438,2.792753,1.532917,1
0.073867,-2.671817,2.222520,1
-3.063166,-1.548978,0.946343,1
1.072653,4.458143,0.112618,1
0.980718,5.216432,1.465706,1
0.211623,-0.941436,1.264077,1
-0.341547,3.065407,0.958270,1
-0.773292,-1.968627,-0.436955,1
0.912375,1.984146,1.919722,1
1.113513,0.616511,2.499164,1
0.909253,-0.255853,0.422430,1
3.407271,1.284737,1.840166,1
0.798159,-2.099049,0.820192,1
3.415736,4.435856,0.487953,1
1.785050,-0.406152,1.217712,1
1.815052,-0.148533,0.864245,1
1.071193,-2.037817,-0.142294,1
0.557128,1.958533,-0.343073,1
-1.037168,4.420160,0.375957,1
3.199382,0.948335,0.299943,1
1.728401,2.489860,0.042847,1
0.789227,-6.143461,1.800535,1
0.636328,-1.295533,1.387925,1
1.705657,3.179436,2.062742,1
-0.815163,1.125333,1.569516,1
0.750436,-2.909199,1.352878,1
1.115825,-7.224544,0.456964,1
0.254151,-1.332457,1.328366,1
1.656713,2.625543,0.132165,1
2.212184,3.443909,0.770981,1
-0.567713,3.044430,0.465733,1
1.281623,-3.517267,-0.334476,1
3.291012,-1.172114,1.765808,1
0.844875,2.177072,0.630697,1
0.996036,3.766318,0.542447,1
-0.021425,-1.092877,1.329050,1
0.592244,2.389365,0.452589,1
1.453254,3.271362,2.596729,1
2.024508,9.075671,1.476982,1
0.927197,-1.026940,1.462558,1
1.833722,-1.879715,1.039199,1
-1.328402,-0.111352,2.089222,1
1.498724,-1.470487,-0.057355,1
-0.466045,6.366072,-2.687428,1
0.666761,-1.342837,2.644781,1
0.783091,-3.657521,-0.636069,1
1.928758,4.633805,2.077959,1
1.316855,1.421966,1.166212,1
3.223109,3.657209,-0.060132,1
-0.479254,-0.359687,-0.603637,1
2.649678,-1.139948,-0.562977,1
-0.534133,4.407987,1.799379,1
1.284037,4.440398,0.480915,1
-0.001632,1.930708,0.078145,1
0.934175,-2.437564,1.250342,1
0.152697,4.440120,2.075589,1
-0.409613,4.893863,-0.793686,1
2.524764,2.531010,1.304592,1
0.354514,1.258668,1.501746,1
2.136098,4.743474,2.286226,1
-0.733570,3.594925,1.764975,1
1.704872,-1.728633,-0.128206,1
2.238380,3.738276,-0.910396,1
1.893152,1.651878,1.782317,1
1.542532,1.970906,0.433455,1
3.206852,-1.687056,0.346712,1
0.935247,1.119865,0.876252,1
2.044487,4.790247,0.789421,1
0.791268,0.597417,2.540063,1
2.126590,-3.364262,2.079521,1
1.023432,-6.245452,1.785156,1
1.172486,-6.704013,0.181468,1
1.592821,3.034861,-0.288406,1
1.086716,3.049209,0.370679,1
0.596771,6.568568,2.575454,1
2.038308,-1.464684,0.850210,1
0.344145,0.770304,3.238941,1
0.347382,4.261796,-0.066064,1
0.056016,1.906259,1.346353,1
0.065667,1.996539,0.752514,1
2.192259,-1.640935,2.191095,1
0.847775,2.701993,0.226406,1
0.972884,0.757756,1.028709,1
0.981754,-1.684663,0.594814,1
0.375787,3.741553,0.476991,1
-0.079145,0.346281,1.075461,1
-0.053280,2.120619,0.372245,1
0.348872,1.168031,1.720399,1
-0.387376,0.589924,0.426751,1
0.584315,2.297368,2.130864,1
1.842103,-0.073108,0.472773,1
-0.557077,-5.379838,0.582249,1
2.185778,-2.978263,-0.029453,1
0.698423,4.360134,2.141677,1
0.074801,4.931875,0.685111,1
0.911322,2.617115,0.191246,1
-0.154430,-2.661917,2.507125,1
0.524014,-3.213936,0.692571,1
0.870261,-2.883537,1.328964,1
2.407007,2.724011,0.663758,1
0.530530,2.551657,-0.311247,1
1.007023,-0.870282,2.654043,1
1.431802,2.291451,2.834445,1
-0.438817,-1.761309,0.803984,1
0.270721,3.240201,0.059806,1
2.860749,3.447380,0.447948,1
-0.219459,0.920093,0.030768,1
-0.028711,-1.032978,2.288621,1
2.228952,5.509494,1.021470,1
2.415811,3.320945,2.396687,1
-1.000038,-5.590334,0.763760,1
-1.310565,-1.061221,1.936528,1
1.698891,3.982253,1.880110,1
2.628748,0.321091,1.818528,1
0.854428,-1.984398,1.099609,1
0.003383,3.849349,2.471833,1
1.435863,4.283088,0.933931,1
-2.073525,-1.029900,0.953210,1
0.380520,2.615278,2.256477,1
-0.664568,5.744721,1.257106,1
0.949568,4.008294,0.687473,1
1.380826,-3.442053,0.662095,1
-0.259852,-0.269605,0.275752,1
0.908618,5.756173,0.767482,1
0.114865,2.251884,1.627199,1
0.851293,0.694954,1.128114,1
1.222488,2.062893,1.343380,1
0.643406,-3.625258,0.939589,1
-0.849508,-1.551646,2.321215,1
-0.432781,4.654048,2.963100,1
1.161542,-1.306414,0.920239,1
1.638935,-1.750971,2.242259,1
0.936840,-2.038403,2.548475,1
0.038484,4.359223,2.923646,1
-0.138859,3.914112,-0.238385,1
1.915835,-0.464469,1.228253,1
0.753048,0.389410,0.989476,1
1.910942,0.602964,1.101288,1
1.670433,-0.497803,0.798327,1
-0.124810,2.080712,1.214076,1
-0.199133,2.823222,1.821069,1
0.017130,4.837770,2.703536,1
0.974647,0.472264,0.512636,1
2.010658,1.196713,0.308546,1
-0.649129,-2.195862,1.302334,1
1.236039,1.173529,1.777943,1
1.881806,2.896230,1.785710,1
-0.241735,0.235509,-0.374741,1
-0.005339,3.547044,-0.551899,1
0.978765,4.020034,-1.181444,1
1.273618,8.071695,0.487216,1
2.946001,2.507882,2.097349,1
1.110393,7.449306,-0.551785,1
-0.452839,6.368183,0.685728,1
-0.065086,-0.269399,0.492687,1
1.546682,2.733539,-0.142561,1
0.801809,-4.472230,2.049407,1
-0.032056,-0.201540,1.106483,1
0.765031,-4.229840,0.380032,1
-0.202674,2.573695,0.816987,1
1.204193,8.417922,1.248774,1
1.357969,6.429168,2.002613,1
2.278287,0.452510,1.342245,1
1.361747,-2.426404,1.238101,1
0.601065,3.034668,1.890451,1
0.911337,2.690422,0.020920,1
1.767714,-2.217029,0.640470,1
1.860144,3.641398,1.294168,1
0.029865,8.165735,0.755765,1
1.556070,-1.728934,1.091231,1
-1.053954,2.674741,0.970698,1
0.224552,1.063219,1.002306,1
1.777891,-1.954064,1.318555,1
0.760931,-3.640275,0.108983,1
1.466059,-2.473413,-0.171650,1
1.182256,2.450918,1.262901,1
0.203802,3.674230,2.008901,1
2.164164,1.272843,2.068339,1
1.277790,-2.437638,1.497228,1
1.413491,-5.356511,2.826585,1
-0.143924,1.874992,0.705592,1
1.517927,-1.339429,1.296050,1
1.928971,4.267464,3.004030,1
0.276535,0.615804,-0.015461,1
1.534138,-1.451255,2.126611,1
0.294127,-5.033837,1.405508,1
1.510996,11.015792,-0.113914,1
1.270804,2.886521,1.053164,1
1.370859,2.759640,0.305501,1
0.072108,4.229300,2.107021,1
1.666209,-2.321154,-0.284978,1
2.618240,0.734236,2.588187,1
2.165732,-0.025898,1.401939,1
1.261300,-7.692757,2.651468,1
0.210934,-2.191882,1.252975,1
0.819347,-1.696798,0.892631,1
-0.223885,6.089874,-0.012826,1
1.945512,2.282331,0.160502,1
1.023301,-1.588933,0.579293,1
0.725904,6.203132,0.274100,1
0.090651,6.390443,0.402122,1
0.101403,1.032753,0.088278,1
0.905497,2.158183,1.229633,1
1.625521,2.179770,2.784148,1
0.016832,4.226008,3.046600,1
-0.003064,-1.764208,1.854951,1
0.659197,3.836436,1.960132,1
0.404622,6.115156,1.786934,1
0.605270,5.354038,0.417967,1
0.931328,7.494342,1.165391,1
1.475758,5.595594,0.459016,1
1.130900,-3.429651,-0.070339,1
-1.091833,1.034670,2.317684,1
1.465600,4.248004,2.628855,1
0.036660,-0.433733,1.306789,1
1.454324,3.353465,1.764377,1
1.668765,1.299997,-0.271677,1
2.134812,1.382819,1.585190,1
1.238228,1.601725,2.006809,1
2.536344,2.222548,0.782309,1
-0.971453,0.481996,0.791664,1
1.237303,-0.686672,2.031306,1
-0.532879,0.041764,2.669461,1
1.178319,2.049004,2.000149,1
0.868375,0.939648,2.357141,1
3.450324,5.087210,-0.285840,1
-0.250820,-2.541134,0.514784,1
-0.489613,2.577354,-0.180567,1
-0.035059,2.706324,-0.458035,1
1.165970,2.691002,-0.405665,1
0.863969,0.112870,-1.725475,1
1.466435,2.024558,2.360280,1
0.822947,-0.088990,0.604891,1
2.047857,4.992513,2.741356,1
3.727350,-0.193906,1.403364,1
-0.633581,1.376951,0.852670,1
0.997930,-0.628631,1.515741,1
1.695524,3.884912,1.509387,1
2.719860,-2.077094,1.823041,1
1.298442,0.302171,0.340355,1
0.834464,8.435934,1.361351,1
2.029352,-6.915057,2.053644,1
1.563880,-3.835506,1.871978,1
1.365396,2.355522,2.327344,1
2.700724,2.037990,1.661349,1
-0.069709,3.823050,1.016592,1
1.967238,3.170550,0.740556,1
0.412093,5.425820,-0.552172,1
0.834635,2.644012,-1.030970,1
0.890655,-1.364054,0.887668,1
2.646160,4.196263,1.729228,1
0.506313,-3.105481,1.184453,1
1.729507,0.720191,1.004451,1
-0.305639,-0.207571,2.667315,1
1.149944,3.059929,1.435252,1
1.092482,4.637178,-1.098818,1
2.234198,-2.012189,0.683059,1
0.952229,2.422191,0.012967,1
2.604040,3.354283,0.632149,1
0.506650,-1.469986,0.700084,1
0.962192,-1.522846,0.795187,1
2.531180,-0.227504,-0.028124,1
1.660800,7.886384,-0.190625,1
1.909623,1.747212,1.197540,1
1.265511,2.345942,-0.271255,1
0.601043,-3.276545,1.189218,1
1.296999,-0.643345,0.636155,1
1.680490,-5.049519,3.188912,1
0.279785,3.902476,1.776992,1
1.369337,2.424484,1.660052,1
0.492608,-2.860309,0.044514,1
0.977698,3.157880,0.875699,1
-0.031102,4.070498,-0.044498,1
-0.199264,-1.429075,-0.056748,1
3.203916,3.112493,2.079725,1
-0.980674,5.660826,1.246516,1
1.302008,-1.364220,1.045038,1
-0.155601,8.676710,1.622842,1
0.548597,-5.034331,2.277120,1
0.145213,0.530523,0.059652,1
0.125073,0.939847,0.180250,1
1.109604,2.447409,1.136741,1
1.214845,-3.429353,0.155942,1
-0.000201,3.343077,2.847267,1
-1.941476,1.876645,1.201100,1
1.041358,2.897675,1.603938,1
1.677761,0.874179,2.237847,1
2.266135,2.539433,0.356850,1
-0.808138,-2.229353,-0.463606,1
0.023679,7.966061,-0.188748,1
0.980009,-1.960126,2.242358,1
0.116634,0.998614,-0.032500,1
2.632769,4.131486,1.055216,1
0.487837,-1.625064,0.292508,1
-0.416436,6.651072,1.318029,1
0.136602,2.639368,1.269646,1
1.884474,1.602994,1.851931,1
2.404091,-2.561386,0.082265,1
2.682322,7.759548,0.681271,1
1.066673,-0.067354,0.345620,1
1.723928,-4.518058,1.641874,1
0.027561,-5.355666,1.369976,1
1.008347,-6.012968,0.064173,1
0.848976,-4.206947,0.601904,1
0.317252,3.423253,0.755991,1
1.069672,-1.335131,3.385345,1
2.675216,4.007487,-0.128159,1
1.706366,1.474636,1.082128,1
0.648376,-6.436659,-1.267198,1
0.492080,-0.650322,0.241488,1
1.039550,-0.399654,1.976203,1
2.443399,0.605343,1.808487,1
2.442611,1.493983,1.143318,1
0.773304,0.293506,0.918427,1
1.693073,4.742474,1.632432,1
1.256846,-1.895976,4.663986,1
0.413530,1.847881,-0.963123,1
1.677165,-2.318623,1.630681,1
2.081649,-0.495149,0.189337,1
-2.132195,-1.268880,-0.749463,1
1.866621,6.167314,0.121948,1
1.986487,-0.736885,0.712418,1
1.028262,-1.369781,0.928247,1
1.649279,0.892953,1.687901,1
0.413888,-0.422643,1.551579,1
2.763832,0.747280,0.948101,1
2.102901,-1.213112,1.926619,1
1.133760,-0.938443,1.135850,1
-0.882944,2.671688,0.923064,1
1.709346,0.560863,0.475623,1
1.894149,-1.851649,0.339152,1
0.775276,0.506159,1.351839,1
0.997141,-0.264331,1.900451,1
0.959968,-1.844513,0.276506,1
2.557536,-0.201183,1.073872,1
1.679888,5.682952,0.447965,1
1.638771,-0.122673,0.718175,1
-0.665574,0.349788,0.268568,1
0.029663,-5.442767,1.047608,1
0.125946,-2.587325,1.172179,1
0.230802,-0.165289,0.942954,1
0.626469,4.823095,0.888825,1
1.224362,-5.288019,1.214862,1
-0.841625,-4.637338,-0.154731,1
1.392549,1.473988,0.402203,1
1.210371,-6.886643,0.979181,1
1.110878,3.029336,-0.649455,1
-0.558346,-1.881372,1.395537,1
0.624682,4.415753,1.181214,1
1.985579,-5.360382,0.261040,1
1.027113,-1.936006,0.613140,1
1.149426,4.666426,2.016540,1
0.528333,1.498352,-0.753067,1
-0.056778,2.333618,-0.345728,1
2.031129,6.552184,0.029244,1
1.547185,-2.720275,1.499319,1
1.186226,8.251930,0.984820,1
0.574599,-0.612295,0.857966,1
0.168035,0.519003,0.431197,1
0.322299,0.477950,0.038647,1
0.215212,0.089682,1.119155,1
1.653894,-2.648107,1.499397,1
1.947670,0.192821,2.449193,1
1.026583,2.533832,2.099503,1
0.375309,1.473478,-0.047977,1
1.956282,-5.078720,1.065455,1
0.106775,-1.625729,1.204015,1
0.863287,-5.055170,-0.354014,1
2.719029,0.843245,0.697012,1
0.825771,7.234995,3.152157,1
0.468936,-0.167057,0.363488,1
-0.218887,4.610602,0.133239,1
1.637360,3.056118,1.633241,1
1.646479,-1.486449,0.742250,1
-0.151259,1.905707,2.066220,1
2.090655,1.288893,1.889545,1
1.181110,-1.015680,3.336296,1
-0.229413,5.724237,-0.154917,1
2.375660,-1.281913,-0.114481,1
-0.023607,-0.415345,2.459714,1
2.101594,-1.222022,0.903264,1
2.580363,2.831301,0.820524,1
1.672604,0.394734,0.629013,1
2.492406,6.329612,-0.155250,1
2.213122,-2.153874,1.611988,1
1.526735,-0.153554,0.875048,1
1.894223,4.914062,1.949139,1
2.594580,-0.318157,0.846508,1
3.376518,9.326660,2.358220,1
2.022757,1.831850,-0.828118,1
0.603987,1.080517,0.463240,1
1.382410,5.927661,2.145489,1
0.094263,4.428375,1.881663,1
1.294194,-2.773154,-0.849033,1
1.442840,-3.465822,0.337947,1
0.852199,4.635543,-0.237655,1
0.689094,1.027008,-1.210016,1
3.042930,2.828410,0.172967,1
0.797328,-2.433358,0.607095,1
0.231675,4.000740,2.924861,1
2.388964,-1.360442,1.129220,1
1.878209,0.527718,-0.263117,1
0.941177,4.261759,1.207069,1
2.160715,-6.452213,-0.332388,1
