@relation example1

@attribute a1 real
@attribute a2 real
@attribute class {1,2}

@data
1.343022,-1.749815,1
-0.020743,0.737846,1
2.098674,-2.648152,1
2.726062,-2.681999,1
2.531170,-0.881827,1
-0.290875,-2.863919,1
-0.011580,2.228283,1
1.164618,2.792679,1
1.943196,-0.812366,1
2.451864,4.256901,1
1.825878,1.348308,1
1.424693,-5.358854,1
0.377888,-1.505214,1
-0.015809,2.987240,1
-0.019895,-2.349028,1
1.383369,-5.192331,1
1.564513,-0.832409,1
0.873677,-0.335825,1
0.572932,-1.183431,1
0.061560,6.511388,1
0.809814,3.522218,1
1.427912,-0.785933,1
1.756884,-0.789724,1
-1.015536,-4.026923,1
1.381615,2.795601,1
1.315479,8.345773,1
2.869785,4.711452,1
0.665568,3.171800,1
0.818356,-2.171926,1
1.019369,-0.994677,1
0.369528,2.452060,1
1.189305,1.693619,1
-0.220608,-0.767474,1
1.975248,4.611184,1
1.810141,-6.009913,1
1.694035,-0.673341,1
1.739999,2.438243,1
1.524046,-4.524978,1
-0.248114,0.024329,1
1.831878,3.259719,1
1.344165,4.258684,1
-0.266999,0.280822,1
1.174166,3.461947,1
1.352597,0.269657,1
1.050728,-1.131897,1
2.381328,1.339178,1
-0.044875,1.330584,1
-0.808668,-2.159348,1
0.443699,0.995462,1
0.065295,-0.429756,1
0.675745,5.739797,1
0.614381,3.962455,1
1.633204,-0.125563,1
0.627756,-3.342586,1
0.713211,-0.725607,1
0.950126,-4.528301,1
1.886321,2.277378,1
-0.354461,1.884160,1
1.696640,-1.402023,1
2.224794,3.278563,1
2.110309,-0.827719,1
2.567861,-2.882204,1
2.775810,7.070968,1
0.268499,2.040690,1
1.246750,-2.459652,1
2.953600,0.990036,1
0.667964,-1.299080,1
1.645355,4.304163,1
1.310997,6.731074,1
0.039538,1.964991,1
0.813611,4.046848,1
1.345958,-0.033419,1
2.113323,2.852556,1
1.281537,4.036543,1
1.955375,2.141852,1
0.988456,1.496450,1
-0.600310,-4.620004,1
3.181187,-2.578304,1
-0.107483,4.700759,1
1.785281,-0.114879,1
0.423482,2.793409,1
0.930289,-5.314229,1
0.913627,4.457389,1
0.779039,1.931359,1
0.818966,0.280160,1
2.227405,1.903206,1
1.406811,-0.322799,1
-1.690231,5.467449,1
2.009230,4.224636,1
2.549243,-0.529370,1
2.644892,-3.596455,1
2.350934,2.311597,1
-0.309468,-0.138016,1
-0.106634,0.334679,1
2.279076,2.628840,1
0.889983,0.399074,1
0.775324,2.134635,1
1.125969,-1.794137,1
1.584045,-0.023402,1
1.008001,5.693297,1
0.074925,1.825039,1
0.670530,-2.108283,1
1.143058,0.583436,1
0.460209,-0.008411,1
0.193923,1.260069,1
1.267068,5.356116,1
1.332442,1.208147,1
0.303011,0.263786,1
1.204754,1.535996,1
1.179739,-1.102859,1
0.535029,5.163291,1
1.941031,-4.024146,1
0.547711,3.442191,1
0.062911,-0.802096,1
1.869561,3.290446,1
0.596556,-1.401223,1
-0.712199,-2.124657,1
1.479810,1.834820,1
2.053561,0.436102,1
0.908539,4.820338,1
1.223903,2.201936,1
0.488482,1.678060,1
2.104767,5.187984,1
0.131548,2.672917,1
1.465440,-1.520052,1
0.550549,0.577168,1
1.976386,-2.266551,1
0.082437,0.404487,1
0.856640,-3.367329,1
1.446966,4.453591,1
1.592524,1.338302,1
1.246772,3.574669,1
1.788852,-4.177427,1
0.949826,-0.349631,1
0.781054,2.160753,1
0.893847,4.153020,1
0.774198,-2.722231,1
1.071746,-2.813199,1
1.409679,5.619999,1
-0.079331,3.978016,1
0.145864,1.858835,1
3.789609,-0.716476,1
1.672976,8.161616,1
1.192199,2.625655,1
1.929280,-1.910805,1
3.028398,-0.076503,1
-0.573704,5.421300,1
2.140508,1.152991,1
1.931640,-1.182335,1
1.030359,-5.303428,1
-0.065391,-0.033082,1
3.044559,1.732425,1
0.812111,-0.668092,1
0.030468,-0.046099,1
0.748891,-1.989926,1
1.987967,-0.839121,1
1.914936,1.354379,1
-0.390480,-2.451908,1
-0.012849,5.210784,1
0.367863,0.638409,1
0.447973,1.449295,1
2.160635,4.178138,1
-0.008676,-0.234998,1
0.798119,0.320850,1
2.082731,-0.201334,1
1.577857,-2.466242,1
0.857961,7.173956,1
-0.163093,4.445470,1
1.512067,0.101895,1
0.457352,-1.375856,1
0.437104,2.139550,1
0.639902,4.493672,1
0.266334,4.110421,1
0.996514,2.472974,1
1.703095,-2.495809,1
0.539921,5.088567,1
1.102750,-1.013708,1
1.168985,5.769435,1
1.222127,3.243446,1
1.990719,-2.030773,1
0.385617,-1.098242,1
1.576753,2.654568,1
-0.710413,4.282974,1
1.234507,-4.098986,1
1.405225,-3.108935,1
1.852291,-3.469412,1
-0.315123,1.901365,1
-0.298562,4.617528,1
1.224721,3.983638,1
1.948514,-4.744472,1
1.916821,-4.073921,1
1.749216,-1.971750,1
0.833407,3.979564,1
1.350954,-2.322568,1
-0.286350,4.500100,1
1.525932,2.615400,1
-0.451413,0.221206,1
0.179979,1.266343,1
1.304601,4.327579,1
-0.389141,1.206504,1
1.575094,0.768323,1
0.674639,-0.657443,1
1.768958,-0.479859,1
0.273489,6.452275,1
-0.756151,-2.344330,1
-1.250344,3.164521,1
2.658588,-3.446412,1
-0.007030,0.749540,1
-0.473077,2.270536,1
-2.055383,2.722659,1
1.555115,3.496278,1
1.994027,-0.263313,1
2.281604,-2.496707,1
3.205439,2.787872,1
1.509277,-1.974251,1
0.878760,3.840399,1
0.873871,-3.788240,1
1.074316,2.122277,1
0.488570,-2.022930,1
0.795305,0.903528,1
1.979223,1.127580,1
0.885796,4.484694,1
0.264725,3.759033,1
1.920171,2.257236,1
0.615737,-2.023755,1
1.009886,-1.882466,1
0.950154,0.482366,1
2.076186,1.937878,1
0.860291,2.597552,1
2.514642,2.236506,1
0.662842,4.353758,1
0.910534,2.035739,1
1.354339,3.083241,1
-0.474995,-4.351044,1
1.632793,3.887438,1
0.604553,-3.480139,1
-0.038884,-3.513518,1
0.064903,0.337966,1
1.763844,3.607305,1
2.964389,1.351022,1
2.010589,2.054823,1
0.455231,1.461515,1
0.774736,3.169977,1
0.206832,-0.884731,1
0.040402,2.142204,1
1.392893,3.268637,1
2.154056,-3.240173,1
0.474190,1.282378,1
2.134868,3.257895,1
2.740603,7.451782,1
1.649116,0.686182,1
1.818383,0.962379,1
1.245311,3.084415,1
0.837114,1.256648,1
3.504161,-0.244276,1
-0.294714,-5.075206,1
1.009282,2.933586,1
-0.896394,1.220640,1
1.257287,5.965784,1
1.787337,1.279344,1
0.728689,-6.905570,1
2.393121,2.367905,1
1.615654,1.822346,1
1.200871,4.598878,1
1.199760,0.130790,1
2.417798,-2.882833,1
0.503635,6.427534,1
2.117319,4.357364,1
1.305076,-1.232961,1
1.844466,2.070835,1
0.356683,4.360670,1
-0.362851,2.902017,1
-0.193056,1.697501,1
2.629976,-1.677872,1
3.173657,0.135402,1
1.491135,7.389331,1
0.686241,1.752456,1
0.174272,0.328775,1
1.163836,-1.760752,1
-0.425461,-0.488491,1
1.985254,1.964301,1
0.252820,4.225473,1
1.210390,7.894932,1
0.186027,-4.385416,1
0.175398,-3.857007,1
0.451052,7.997452,1
1.000453,0.741629,1
0.827495,1.740840,1
1.431943,3.016236,1
0.587222,-3.903839,1
0.234335,-1.738043,1
0.527870,1.584182,1
0.724965,3.205912,1
0.816911,-0.947625,1
0.890819,1.052510,1
1.853972,0.765602,1
0.646517,-1.910173,1
-0.459401,5.800556,1
1.703709,6.764831,1
0.744155,0.076105,1
1.480176,-0.378567,1
0.146150,0.897732,1
1.387500,-3.382775,1
-0.555076,-2.114864,1
0.823987,1.815783,1
2.129177,-3.803563,1
-0.362087,5.062007,1
2.791223,2.865814,1
1.444504,1.590353,1
0.903490,1.300307,1
-0.186934,4.253896,1
-1.087927,0.156500,1
0.541508,7.723595,1
0.471571,1.198672,1
1.079569,2.136574,1
-0.419441,2.006370,1
2.345287,2.973763,1
0.375048,0.180270,1
1.289351,-2.742080,1
1.110662,3.817768,1
0.422855,-2.992556,1
0.461521,-2.784391,1
2.395121,-3.574573,1
0.075531,4.766058,1
1.272175,0.161747,1
1.404183,10.863813,1
1.766688,3.219999,1
-1.134685,5.981450,1
0.972528,4.682518,1
1.417870,6.349551,1
0.549504,1.746148,1
0.263935,-4.474828,1
2.379816,2.499344,1
-0.131272,-2.737161,1
1.016209,2.328238,1
2.148869,3.966566,1
-0.514400,-0.248590,1
1.346290,-2.752877,1
0.928047,-4.319928,1
1.458228,-1.306185,1
0.391890,-1.008749,1
0.127097,-2.292208,1
-0.357259,1.572816,1
0.878360,-1.584481,1
2.479188,-4.347577,1
1.271161,0.860589,1
1.674086,4.781414,1
0.929335,1.384883,1
0.214068,-3.509924,1
1.937578,9.105294,1
1.050716,-2.661451,1
2.849574,3.094935,1
0.209222,3.605294,1
1.665868,4.813221,1
1.008442,-1.497271,1
-0.208236,1.456455,1
-0.388653,4.678189,1
0.198453,2.683508,1
-0.726415,4.251399,1
0.712843,5.804126,1
1.753113,-3.947655,1
1.561056,2.334954,1
1.457334,0.114200,1
1.142553,6.749721,1
0.167774,-5.813450,1
-0.127524,-2.324021,1
1.952630,-2.650175,1
0.081134,4.085403,1
1.159920,-2.016161,1
2.610187,-0.584563,1
-0.041299,4.801078,1
1.260974,4.347766,1
-0.317856,1.902735,1
-0.425720,-3.674775,1
0.420660,2.608469,1
1.250685,-1.181093,1
0.159904,-1.209139,1
0.126994,2.091050,1
2.084928,1.470373,1
3.300326,-0.217527,1
1.398581,-6.088550,1
1.447847,-1.183276,1
1.342137,2.628407,1
0.573770,0.670623,1
0.823047,4.803556,1
-0.243380,1.474529,1
0.443214,1.211189,1
0.759274,1.268713,1
2.501255,-3.221464,1
1.574929,-4.538239,1
1.101805,3.402010,1
1.507258,3.621335,1
-0.350073,-5.152939,1
-0.141211,-0.818535,1
1.738786,0.360882,1
0.424708,-3.540474,1
1.131991,1.687848,1
0.656338,5.574735,1
0.466003,4.130784,1
-0.129502,-0.589280,1
0.957037,0.327869,1
0.116585,-0.314891,1
-0.040251,3.651600,1
2.304868,-1.224491,1
1.120616,4.042908,1
1.333966,-6.477690,1
1.708112,2.368315,1
1.401202,3.503173,1
1.812762,1.083014,1
0.845155,2.885488,1
1.344321,-2.473832,1
2.117962,1.758130,1
0.158718,2.288861,1
1.957148,5.784252,1
-0.326339,-1.463584,1
1.125178,1.448630,1
0.041244,3.996759,1
2.331064,4.143416,1
2.101795,-0.880643,1
1.236821,7.806038,1
1.364292,2.600442,1
0.294921,2.602533,1
1.146390,2.526012,1
1.927881,-1.537619,1
1.350593,0.375368,1
1.528861,3.112754,1
1.477153,1.047563,1
1.978898,4.755725,1
1.770588,-1.644900,1
1.234376,2.720669,1
1.877999,-1.403666,1
1.988845,-0.482670,1
1.156212,-3.786697,1
1.665522,3.986938,1
0.757638,1.067252,1
-0.403733,3.058551,1
1.903618,2.997300,1
0.715264,0.521052,1
0.349185,1.357915,1
1.224665,1.019861,1
0.132976,0.434869,1
-0.971373,-1.090754,1
-1.105815,0.564816,1
-0.057784,1.782848,1
1.231961,-1.576208,1
0.520595,-3.125162,1
1.549493,0.247405,1
2.584317,-3.836633,1
0.396879,-3.168164,1
2.430581,3.910270,1
2.147973,-5.460907,1
2.368141,2.728757,1
1.571123,-0.509621,1
1.914924,-3.246405,1
-0.284099,2.505558,1
1.004247,-0.467174,1
3.193381,-2.268079,1
0.080079,-3.153822,1
1.730094,2.441868,1
1.517750,-0.818218,1
0.814747,-0.052381,1
0.851139,-3.352929,1
-0.526294,4.871326,1
0.979433,2.304787,1
1.003883,3.017439,1
-0.152041,1.479682,1
1.637473,1.180244,1
2.657395,0.177710,1
1.769633,1.320542,1
1.271643,-1.067111,1
-0.442998,6.770582,1
1.336776,-1.000642,1
1.472699,0.299273,1
-0.570037,0.700966,1
0.286963,1.542934,1
2.766549,3.071719,1
0.056828,7.145405,1
1.615993,-0.588269,1
-0.485538,3.782576,1
1.548188,1.442256,1
0.375555,-1.616867,1
1.061717,0.524387,1
1.400287,0.822714,1
1.983320,4.747603,1
-0.284536,0.517987,1
2.425507,0.915423,1
3.175147,2.903300,1
1.966505,-4.148480,1
2.554889,0.221655,1
0.285084,-0.053169,1
1.766079,1.220131,1
0.744483,-0.683066,1
0.426615,2.464429,1
0.798490,0.689155,1
1.641240,1.581998,1
2.311278,-8.036202,1
-0.241007,0.371782,1
2.405941,1.391047,1
2.250655,1.328489,1
2.195400,0.656960,1
1.565029,-1.066461,1
1.514585,3.286587,1
2.459577,-2.773815,1
-0.946925,4.700374,1
1.365750,-1.274206,1
1.981732,5.136223,1
1.476022,1.078901,1
2.740218,3.622687,1
0.900982,0.487665,1
1.389361,-1.918733,1
2.158224,0.292649,1
0.848550,-2.481561,1
0.396905,1.091349,1
-0.076282,-0.002416,1
1.744002,-0.758758,1
0.682459,2.364245,1
2.526870,4.178897,1
1.354144,0.680453,1
0.441013,2.211850,1
1.271971,5.458237,1
0.828183,-2.598377,1
1.735501,3.300594,1
1.748974,3.732048,1
1.014210,6.831249,1
1.531300,5.777343,1
0.124172,2.990266,1
0.412322,1.729191,1
0.446782,1.418373,1
0.885534,-1.911299,1
1.102862,-0.739687,1
0.361659,-1.370944,1
1.646292,-4.441659,1
0.583454,0.860919,1
0.467910,1.455282,1
1.130418,-5.670625,1
1.848945,-3.730560,1
1.204074,-0.641791,1
0.082134,1.125144,1
1.496635,-2.755355,1
-0.086447,5.758406,1
1.612352,3.182828,1
0.715243,-0.414783,1
-1.318010,-1.229930,1
-0.166057,6.057942,1
0.430533,-5.562747,1
0.634102,3.402684,1
0.867720,3.451305,1
0.189287,-1.544837,1
1.285757,3.388475,1
1.921436,-0.023507,1
1.487090,3.565772,1
1.740852,1.849887,1
1.114788,0.267492,1
1.408277,2.365072,1
2.127284,-3.812440,1
0.249579,-1.186800,1
-0.159716,-0.129086,1
3.297340,2.330101,1
-0.011216,-8.168401,1
2.732668,1.037857,1
-1.018624,2.468704,1
0.422925,3.607427,1
0.259719,0.755704,1
2.128807,2.663942,1
0.655721,4.943375,1
1.071294,0.603040,1
3.446240,0.417853,1
1.704691,1.201169,1
1.535213,-3.143347,1
0.644024,6.084876,1
2.362510,1.467288,1
-0.590130,6.862387,1
1.805838,1.639049,1
2.587252,8.664002,1
0.322345,2.847334,1
2.151172,1.442788,1
-0.238366,3.496029,1
2.103913,0.048324,1
2.178167,5.678380,1
0.906314,-4.031197,1
13.345004,3.348369,2
6.050597,1.820048,2
14.895129,3.046627,2
12.971488,2.983301,2
11.259478,2.932084,2
11.026628,3.685044,2
11.168859,1.592095,2
12.379632,2.503336,2
4.329020,2.837707,2
9.524474,4.599424,2
11.385252,3.346157,2
8.362757,2.858367,2
5.279278,2.444090,2
7.774022,1.028004,2
10.892285,2.146073,2
6.556409,3.039307,2
10.421251,2.200790,2
9.340354,1.497504,2
6.703169,2.189924,2
3.979622,2.223859,2
4.044221,1.054769,2
12.042489,3.869628,2
5.476058,2.428828,2
13.174025,3.278214,2
11.049803,4.084759,2
14.306206,3.797568,2
10.538549,2.525370,2
12.641762,3.953322,2
10.185115,3.202387,2
11.698626,4.835270,2
4.700053,2.316262,2
10.299048,3.547188,2
10.620554,4.396249,2
15.927083,1.045482,2
10.272446,3.465382,2
10.426494,2.336875,2
10.336491,3.760866,2
9.851108,3.662861,2
9.652745,3.313890,2
9.902525,2.742667,2
12.619746,1.809728,2
9.088651,4.764224,2
10.885297,2.727831,2
6.965832,3.396594,2
8.849128,2.978507,2
12.799782,3.568675,2
7.543084,3.829672,2
12.482062,2.440923,2
11.852913,3.992285,2
13.835385,4.345197,2
12.312280,3.257222,2
8.256165,3.156377,2
4.781847,2.304968,2
9.640299,3.784171,2
9.360060,3.711398,2
13.581886,3.046040,2
6.970563,1.861747,2
15.914443,3.675390,2
12.921322,2.734750,2
8.456890,3.403989,2
9.803064,3.368383,2
7.542281,2.588991,2
8.271374,1.616406,2
9.915640,2.503391,2
12.139620,1.556999,2
12.378867,2.990850,2
8.200749,4.365389,2
7.929333,2.260031,2
13.582778,2.312440,2
8.969339,3.220772,2
14.649426,3.161339,2
4.955813,1.785948,2
3.485581,2.592560,2
13.819454,2.832603,2
9.142324,2.512279,2
12.841061,2.763157,2
11.218771,2.449342,2
13.639348,2.363474,2
10.543306,2.534031,2
10.778065,2.544840,2
6.232188,1.861777,2
9.660943,2.795049,2
12.872908,3.294529,2
9.404214,1.831354,2
13.483668,2.958567,2
9.984006,1.732344,2
9.600847,3.134942,2
11.011481,3.339729,2
9.165896,3.506044,2
7.118367,3.376885,2
5.410365,4.211095,2
12.347555,3.153453,2
6.947169,2.634354,2
10.616443,3.299501,2
9.835384,2.324022,2
9.325462,2.085145,2
6.142313,1.783255,2
11.485497,6.189274,2
8.714344,3.249881,2
7.508309,4.483850,2
10.861594,1.684575,2
14.964297,1.172224,2
6.997935,5.082025,2
11.161542,5.137202,2
3.592569,2.491068,2
10.483137,3.879850,2
14.605983,3.476606,2
12.117969,2.023038,2
7.799922,3.559102,2
8.441518,3.092086,2
12.557204,2.024662,2
8.679452,4.896494,2
8.103699,2.917452,2
11.593935,1.278558,2
7.730235,4.203097,2
5.634386,1.953096,2
15.521521,3.017675,2
