@relation pendigits
@attribute 'a1' integer
@attribute 'a2' integer 
@attribute 'a3' integer 
@attribute 'a4' integer
@attribute 'a5' integer 
@attribute 'a6' integer 
@attribute 'a7' integer
@attribute 'a8' integer 
@attribute 'a9' integer 
@attribute 'a10' integer
@attribute 'a11' integer 
@attribute 'a12' integer 
@attribute 'a13' integer
@attribute 'a14' integer 
@attribute 'a15' integer 
@attribute 'a16' integer 
@attribute 'class' {0,1,2,3,4,5,6,7,8,9}

@data
  0,100, 61,100,100, 93, 63, 64, 36, 33, 14,  0,  9, 29, 47, 42, 7
100, 79, 67,100, 26, 76, 41, 38, 47,  0,  0,  8, 38, 38, 96, 58, 8
 37, 91, 84,100,100, 96, 52, 87, 32, 57, 74, 38, 41,  1,  0,  0, 5
100,100, 58, 83, 31, 55, 17, 24, 43,  0, 80, 19, 50, 43,  0, 39, 6
 94, 79, 40,100, 13, 65, 59, 30, 67,  0,  0, 17, 45, 52,100, 83, 8
  0, 82, 75, 56,100, 12, 22,  0, 22, 41, 92, 73, 84,100,  2, 80, 8
 80,100, 36,100, 58, 80, 65, 82, 82, 47,100, 14, 53,  0,  0,  7, 9
 35, 76,  0, 42, 11,  0, 65,  5,100, 41, 97, 85, 49,100,  9, 69, 0
 34,100, 21, 76,  0, 35, 43, 30, 91, 29,100, 41, 74, 46, 67,  0, 4
  0, 75, 31, 72, 67, 84,100,100, 94, 82, 80, 54, 68, 27, 56,  0, 1
 90, 71,100,100, 25, 85, 10, 50, 80, 62, 99, 53, 64, 17,  0,  0, 9
  0, 97, 42,100, 67, 71, 53, 35, 34,  0, 16, 23, 40, 42,100, 42, 7
 38, 94,  4, 63,  0, 20, 41,  0, 84, 19,100, 60, 77, 98, 32,100, 0
 72,100, 38, 88,  2, 57,  0, 19, 51,  0,100, 20, 55, 34, 12,  7, 6
 26, 79, 69,100, 92, 85, 56, 56, 90, 42,100, 15, 51,  0,  0,  2, 3
  8, 77, 47,100,100, 96, 71, 66,100, 46, 99, 13, 46,  0,  0, 13, 3
 31, 73, 55,100, 55, 53, 33, 14,  0,  0, 30, 11, 65,  1,100,  1, 2
 46,100, 21, 85,  0, 60, 24, 42, 68, 44,100, 49, 76, 25, 58,  0, 4
 41, 69, 76,100, 73, 81, 57, 39, 46,  0,  0, 10, 50,  9,100, 10, 1
 32,100, 12, 76,  0, 48,  1, 21, 39,  0,100,  9, 64, 21, 18,  3, 6
 16, 90,  9, 61, 50, 35, 23,  0,  5, 35,  0, 81, 48, 97,100,100, 5
 21, 88,  0, 57, 88, 58, 88, 18, 15,  0,  8, 42, 12, 83,100,100, 5
  0,100, 54, 98, 91, 85, 71, 52, 62, 17, 74,  0,100, 32, 42, 37, 7
 47, 93,  1, 67,  0, 16, 53,  0,100, 32, 95, 81, 42,100,  7, 62, 0
 38, 51,  8, 66,  0, 19, 42,  0, 87, 26,100, 71, 61,100, 16, 84, 0
 95, 92, 50,100, 21, 77, 74, 87,100, 86, 69, 56, 37, 26,  0,  0, 9
 18, 88,  2, 54, 40, 25,  2,  0,  0, 30, 20, 70, 45,100,100, 93, 5
 39,100, 23, 82,  0, 52,  1, 21, 48,  0,100, 16, 70, 42,  6, 55, 6
 22,100,  1, 66,  0, 33, 50, 32,100, 36, 82, 63, 77, 30, 71,  0, 4
  3, 96, 53,100, 81, 68, 83, 28, 72,  0,100, 34, 51, 41,  0, 43, 7
  0, 65, 38, 79, 62,100, 72, 86, 77, 65, 79, 43, 83, 21,100,  0, 1
 19, 81,  0, 41, 12,  0, 54,  1, 88, 29,100, 71, 72,100, 31, 91, 0
  0, 60, 38, 80, 80,100,100, 92, 80, 69, 65, 46, 55, 23, 55,  0, 1
 40, 72, 16, 50, 96, 69, 70,100,  0, 73, 65, 57,100, 47, 94,  0, 9
100,100, 63, 78, 28, 53,  0, 27,  4,  0, 60,  1, 78, 22, 24, 21, 6
 33, 58, 19, 90, 78,100, 91, 62, 51, 28,  0,  2, 37,  1,100,  0, 2
 14, 91,  9, 52, 28, 10, 74,  0,100, 38, 86, 81, 43,100,  0, 80, 0
 20, 85, 62,100, 71, 72, 45, 52, 98, 47,100, 17, 53,  0,  0,  0, 3
  9,100,  0, 66, 20, 25, 61,  0,100, 21, 93, 64, 54, 91,  9, 76, 0
 42, 83, 60, 53, 89, 11, 13,  0,  0, 33, 77, 57,100, 92, 18,100, 8
  4, 63, 12, 15, 52,  0, 92, 15,100, 63, 72,100, 28, 97,  0, 62, 0
 38, 94, 90,100, 94, 79, 59, 57, 68, 33,100, 12, 54,  0,  0,  1, 3
 22, 55, 10, 60,  0, 18, 46,  0, 89, 28,100, 70, 68,100, 29, 69, 0
 27,100,  0, 58, 12,  5, 62,  0,100, 39, 97, 91, 48, 97, 18, 53, 0
 43, 94, 15, 66, 52, 38, 20,  0,  5, 35,  0, 83, 42,100,100, 98, 5
  0, 87, 37,100, 19, 70,  5, 42, 88, 49,100, 58, 84, 28, 88,  0, 4
 73, 98, 35,100,  0, 59,  0, 13, 71,  8,100, 45, 29, 41,  9,  0, 6
 15, 73,  0, 34, 30,  0, 81,  1,100, 38, 87, 78, 44,100, 16, 68, 0
 85,100, 30, 84,  5, 54,  0, 22, 48,  0,100, 21, 66, 47,  0, 37, 6
  0, 88, 24, 68, 76, 33, 43,  0, 29, 32, 84, 66,100,100,  8, 89, 8
 50, 97, 72, 68,100,100, 42, 86, 93, 72, 89, 48, 70,  7,  0,  0, 9
 42,100,  9, 79,  0, 46, 48, 31,100, 46, 89, 52, 46, 30, 19,  0, 4
  7,100,  0, 56, 51, 37, 39,  0,  9, 15,  5, 62, 42, 92,100, 96, 5
100, 77, 92,100, 49, 76, 18, 48,  0, 15, 38,  0, 75, 23, 29, 27, 6
 44, 66, 67,100, 80, 62, 47, 25,  5,  0,  0,  3, 50,  4,100,  7, 2
 37,100, 48, 57, 74, 97, 27, 97, 80, 68,100, 26, 49,  0,  0, 22, 9
100, 89, 40, 83, 63, 40, 84,  0,  0,  7, 53, 53, 80,100,  3, 78, 8
 45, 93,  0, 60, 75, 69, 89, 29, 19,  0, 15, 43, 26, 93,100,100, 5
 45,100, 10, 67,  7, 16, 56,  0,100, 31, 91, 79, 38, 95,  0, 61, 0
 13, 68, 15, 30, 42,  0, 86, 19,100, 56, 84, 90, 33,100,  0, 73, 0
 49, 83,  8, 57,  0, 17, 51,  0, 93, 28,100, 70, 61,100,  8, 86, 0
 16,100,  0, 78,  5, 54, 41, 32, 93, 39,100, 48, 91, 24, 89,  0, 4
 22, 93,  0, 95, 50, 97,100,100, 67, 81, 43, 56, 28, 28, 30,  0, 7
 52, 91, 72,100, 87, 70, 57, 43,100, 45, 90, 15, 43,  0,  0, 12, 3
 96,100, 52, 95, 48, 76, 96, 98,100, 85, 71, 54, 39, 25,  0,  0, 9
 29, 73, 56,100, 68, 71, 45, 38, 11, 12,  0,  8, 50,  6,100,  0, 2
 14, 94,  4, 63, 43, 36, 36,  0, 10, 27,  0, 72, 47, 92,100,100, 5
 53, 87, 32, 47, 98, 64, 69,100, 58, 69,100, 61, 71,  3,  0,  0, 9
 68,100, 24, 83,  0, 41, 13,  0, 60,  3, 99, 30,100, 71, 55, 89, 0
100, 98, 60,100, 29, 73, 10, 41,  6,  6, 46,  0, 46, 27,  0, 30, 6
100, 70, 58,100, 10, 75,  0, 24, 48,  0,100, 19, 97, 68, 45, 81, 0
 84,100, 59, 99, 16, 72,  0, 42, 20, 12,100,  0, 94, 22,  4, 27, 6
100,100, 53, 81, 25, 54, 11, 25, 38,  0, 99,  8, 65, 29,  0, 25, 6
  0, 42, 30, 56, 59, 72, 86, 94,100,100, 80, 68, 62, 35, 53,  0, 1
 67,100, 30, 90,  0, 57, 41, 40,100, 53, 98, 67, 66, 34, 40,  0, 4
 73, 85, 31, 65,  0,  0, 52,  9,100, 57, 82,100, 81, 78, 38, 25, 0
 28, 82,  0, 39, 30,  0, 80,  5,100, 54, 70, 99, 22,100,  7, 50, 0
 86,100, 48, 79, 13, 52,  0, 22, 45,  0,100, 16, 76, 40,  6, 35, 6
 40, 79, 61,100, 78, 72, 46, 41,  0, 16,  1,  5, 61,  1,100,  0, 2
100, 88, 69,100, 20, 84, 70, 86, 93, 71, 70, 44, 38, 19,  0,  0, 9
 30, 98, 16, 60, 53, 28, 46,  0, 13, 29,  0, 68, 27, 95,100,100, 5
  2, 78, 46, 99,100,100, 77, 76, 94, 38, 94,  0, 41,  3,  0, 28, 3
  0, 42, 34, 57, 64, 79, 95,100,100, 85, 81, 57, 62, 28, 45,  0, 1
 19,100,  4, 77,  0, 51, 46, 36,100, 47, 96, 49, 87, 23, 77,  0, 4
  3, 66, 16,100, 27, 69, 14, 32,  0,  0, 33,  5, 67, 10,100, 11, 2
 47,100, 40, 82, 18, 49,  0, 19, 53, 20, 92, 34, 94, 35,100,  0, 4
 29, 38, 61, 60, 92, 83,100,100, 73, 76, 49, 50, 25, 25,  0,  0, 1
  0, 63, 41, 77, 79, 94,100,100, 85, 74, 75, 48, 71, 22, 82,  0, 1
  0, 52, 52, 83, 97,100, 91, 55, 84, 10, 21,  0, 21,  7,100,  7, 1
 65,100, 24, 84,  0, 48,  9, 10, 61,  0,100, 24, 58, 47,  2, 46, 6
 88, 80, 12, 80,100,100,100, 91, 65, 68, 29, 46,  6, 23,  0,  0, 1
 13, 80, 53, 71,100,100, 23, 99,  0, 71, 81, 74, 74, 40, 47,  0, 9
  0, 79, 51, 59,100, 29, 51,  0, 22, 26, 51, 60, 73, 94,  9,100, 8
 72,100, 38, 84, 13, 63,  0, 40, 40, 28, 88, 31,100, 22, 84,  0, 4
  0,100, 67,100, 86, 72, 56, 37, 34,  0,  6, 33, 32, 45,100, 46, 7
 37, 84, 69,100, 96, 87, 55, 61, 88, 38,100,  9, 51,  0,  0,  3, 3
  0,100, 73, 97, 95, 80,100, 64, 95, 48, 82, 31, 64, 15, 23,  0, 1
  0, 59, 77, 74,100,100, 17, 93,  7, 71, 82, 68, 45, 35, 20,  0, 9
  2, 85, 31,100, 76, 74, 62, 37, 47,  0,100,  8, 68, 30,  0, 41, 7
 13,100,  0, 76, 28, 53, 94, 56,100, 76, 93, 66, 94, 33, 91,  0, 4
 21, 75, 40,100, 85, 94, 67, 63,100, 43, 95, 11, 47,  0,  0, 13, 3
 48,100, 15, 83,  0, 39, 23,  1, 71,  0,100, 34, 86, 77, 44, 98, 0
 24,100,100, 99, 93, 78, 64, 48, 39, 17, 19,  0,  0, 31, 72, 38, 7
 45, 85, 93,100,100, 98, 48, 88,  7, 62, 48, 48, 48, 18,  0,  0, 5
 54, 93,  0, 88, 54, 46, 70,  0,  5,  9, 54, 52,100, 96,  7,100, 8
 46, 83, 87,100,100, 79, 75, 54, 90, 36,100, 13, 49,  0,  0, 12, 3
 84,100, 46, 98, 13, 60,  0, 19, 53,  0,100, 32, 33, 36, 10,  4, 6
 26, 74, 19, 49, 64, 21, 20,  0,  1, 25,  0, 64, 45, 87,100,100, 5
 39, 62, 78, 88, 79,100, 57, 64, 38, 30,  0,  0, 34,  4,100,  0, 1
 14,100,  1, 54, 51, 47, 36,  0,  0, 14,  6, 71, 42, 93,100, 97, 5
  0, 65, 43, 76, 93, 96,100,100, 71, 75, 48, 50, 26, 25,  5,  0, 1
  0, 70, 53, 88, 64,100, 62, 78, 70, 57, 83, 36,100, 14, 98,  0, 1
  0, 67, 16, 80, 64,100, 85, 99, 85, 74, 89, 49, 95, 24,100,  0, 1
 88, 99, 45, 82, 78, 75, 90,100,100, 68, 93, 36, 59,  9,  0,  0, 9
 30,100, 16, 84,  0, 51, 28, 26, 80, 33,100, 65, 79, 34, 68,  0, 4
 24,100, 14, 55, 72, 52, 54,  0,  8,  2,  0, 58, 35, 95,100, 99, 5
  0, 78, 18, 96, 59, 95,100,100, 86, 82, 66, 56, 52, 29, 47,  0, 7
  0, 91, 46,100, 85, 80, 91, 40, 88,  0, 99, 22,100, 52, 50, 49, 7
 21, 92, 85,100, 90, 67, 67, 34, 49,  0,  0, 26, 27, 43,100, 42, 7
 31, 95,  5, 61,  0, 23, 32,  0, 77, 18,100, 51, 82, 85, 37,100, 0
 19, 73, 54, 91,100,100, 99, 78, 86, 52, 78, 26, 43,  8,  0,  0, 3
 98,100, 52, 77, 18, 52,  0, 25, 25,  0,100,  5, 97, 29, 23, 22, 6
 79, 74, 21, 67, 15, 92, 71,100,100, 75, 73, 45, 36, 18,  0,  0, 9
100,100, 59, 79, 26, 54,  2, 28,  1,  0, 58,  0, 58, 21,  0, 19, 6
 19, 86, 35, 72, 95, 94,  0,100, 60, 78,100, 52, 67, 26, 26,  0, 9
 16, 59,  0, 31, 31,  0, 78, 15,100, 55, 87, 98, 40,100,  6, 67, 0
 83, 86, 44,100,  0, 74, 58, 67,100, 94, 89, 63, 77, 31, 75,  0, 9
  0, 97, 43,100, 58, 62, 41, 17, 26,  0,  8, 36, 54, 34,100, 33, 7
  0, 70, 63, 80, 90,100,100, 89,100, 67, 92, 44, 84, 22, 71,  0, 1
 30,100,  4, 67,  0, 24, 30,  0, 66, 11, 95, 41,100, 82, 64, 93, 0
100, 96, 71,100, 42, 79, 49, 56, 91, 51, 82, 16, 42,  0,  0,  1, 5
 47,100, 19, 67,  0, 30, 20,  0, 68,  5,100, 33, 91, 72, 50, 88, 0
100,100, 64, 98, 26, 85, 36, 63, 76, 58, 75, 24, 42,  1,  0,  0, 5
 29, 47, 59, 71,100,100, 90, 81, 74, 50, 66, 18,  0,  0, 99,  7, 1
 89, 87, 38,100, 17, 78, 80, 77,100, 76, 92, 34, 61,  0,  0,  4, 9
 67,100, 36, 82,  0, 60,  5, 37, 66, 38,100, 50, 73, 25, 56,  0, 4
 53,100, 23, 77,  0, 57, 74, 66,100, 79, 70, 85, 44, 42, 16,  0, 4
 27,100,  0, 74, 40, 54,100, 59, 84, 91, 57, 64, 43, 32, 33,  0, 4
  2, 80, 36, 50, 54, 12,  9,  0,  0, 41,  5, 78, 49, 95,100,100, 5
 48, 95, 94,100,100, 73, 75, 47, 41, 25,  0,  5, 41,  1, 94,  0, 2
100,100, 68, 96, 38, 70, 14, 44,  0, 14, 36,  0, 51, 23,  3, 28, 6
 58,100,  0, 89, 44, 53,100, 21, 63,  0, 62, 36, 87, 80, 25, 91, 8
  0, 61, 22, 89, 59,100, 72, 73, 53, 42, 31, 12, 58,  0,100,  4, 2
  0, 75, 29, 79, 71, 91,100,100, 82, 74, 68, 48, 57, 21, 58,  0, 1
  0, 48, 28, 64, 61, 82, 92,100,100, 84, 86, 56, 73, 28, 64,  0, 1
 36, 90, 86,100, 87, 73, 47, 49, 92, 44,100, 16, 53,  0,  0,  1, 3
 78, 85, 65, 66,100, 25, 49,  0, 15, 29, 58, 67, 66,100,  0, 84, 8
 69,100, 31, 73, 39, 55, 89, 62,100, 84, 63, 57, 31, 28,  0,  0, 4
  0, 87, 55,100,100, 81, 74, 41, 49,  0, 20, 10, 32, 32, 99, 35, 7
100,100, 92, 85, 75, 71, 58, 57, 58, 42, 33, 28,  8, 14,  0,  0, 1
 47, 91, 37, 63, 65, 27, 21,  0,  9, 40,  0, 91, 49,100,100, 91, 5
  0, 96, 45,100,100, 99, 79, 83, 60, 63, 45, 42, 36, 21, 33,  0, 7
 12, 73, 29, 62, 66, 32, 29,  0,  5, 29,  0, 71, 38, 96,100,100, 5
 84, 93, 20,100, 22, 50, 44,  0,  0, 22, 54, 59,100, 95, 27, 97, 8
 39, 80, 21, 60, 35, 19, 12,  0,  0, 31, 16, 72, 51, 98,100,100, 5
 52,100, 29, 73,  0, 47, 19, 42, 69, 37,100, 54, 90, 30, 88,  0, 4
 78,100, 40, 94, 16, 58,  5, 21, 53,  0,100, 27, 36, 30,  0,  0, 6
  0, 89, 47,100, 89, 87, 74, 61, 45, 37, 15, 14, 43,  0,100,  1, 2
 44, 80, 80,100,100, 85, 72, 59, 92, 38, 93, 14, 49,  3,  0,  0, 3
 80,100, 60, 76, 26, 52,  0, 28, 46, 11, 97, 29,100, 24,100,  0, 4
 51,100,  0, 90,  5, 57, 92, 61,100, 70, 85, 82, 68, 40, 86,  0, 4
 95, 68, 77,100, 21, 76, 60, 38, 68,  0,  0, 15, 29, 53,100, 81, 8
 91,100, 66, 88, 31, 58, 15, 26, 50,  0,100, 17, 67, 45,  0, 47, 6
 34, 64, 52,100, 58, 57, 37, 16,  0,  0, 24, 20, 61,  1,100,  5, 2
 38, 92, 15, 72, 42, 44, 25,  0,  0,  8,  8, 61, 40, 93,100,100, 5
 27, 92, 22, 53, 58, 28, 18,  0,  0, 32, 13, 85, 50, 98,100,100, 5
100,100, 52, 80, 20, 52,  6, 20, 45,  0, 99, 12, 59, 30,  0, 25, 6
  0, 96, 40,100, 60, 66, 58, 27, 41,  0, 20, 35, 54, 42,100, 46, 7
  0, 82, 25,100, 52, 73, 44, 34, 32,  0,  0, 29, 50, 34,100, 39, 7
  0, 48, 30, 67, 65, 85,100,100, 84, 75, 65, 51, 47, 25, 34,  0, 1
  0,100, 50, 97,100, 91, 74, 63, 55, 29, 42,  0, 20, 31, 68, 36, 7
 14, 55, 40, 61, 59,100, 58, 62, 59, 21,100, 14, 48,  5,  0,  0, 1
 46, 96, 80,100, 81, 76, 77, 60,100, 36, 75, 12, 36,  0,  0,  6, 3
  0, 67, 38, 66, 62, 30, 38,  0,  8, 30, 45, 63,100, 90, 58,100, 8
 92, 73, 32, 63,  0, 86, 51,100,100, 82, 96, 51, 64, 23, 21,  0, 9
 34, 76,  0, 41,  7,  0, 62,  0,100, 33, 95, 74, 49,100,  0, 83, 0
 52, 80, 84,100,100, 75, 58, 53, 91, 48, 89, 10, 44,  0,  0, 16, 3
 33, 93,  8, 58,  0, 20, 35,  0, 78, 21,100, 55, 94, 93, 48,100, 0
  0, 93, 45,100, 74, 75, 57, 37, 35,  0, 25, 24, 53, 41,100, 37, 7
100, 75, 95,100, 24, 81, 38, 44, 69,  8,  0,  0, 45, 33, 96, 64, 8
  9, 61, 25,100, 59, 72, 42, 27,  0,  5,  5, 24, 53, 16,100,  0, 2
 65, 96, 81, 66,100,100, 40, 92, 71, 64, 93, 45, 65,  5,  0,  0, 9
 77,100, 53, 90,  0, 43, 13,  0, 86, 34,100, 84, 73, 51, 10,  9, 0
  0,  0, 38, 13, 71, 34, 94, 61,100, 90, 63,100, 44, 76, 73, 53, 9
 49, 54,100, 78, 65,100,  0, 82, 12, 60, 90, 64, 95, 33, 86,  0, 9
  0, 45,  0, 61, 48, 82,100,100, 97, 78, 72, 51, 45, 24, 33,  0, 1
 73,100, 43, 70,  0, 42, 25, 41,100, 45, 90, 64, 63, 32, 54,  0, 4
100,100, 71, 95, 30, 64,  1, 27, 32,  0, 82, 19, 54, 51,  0, 48, 6
  0, 82, 40,100, 80, 80, 43, 53, 54, 45,100, 25, 63,  0,  3,  4, 3
  0, 74, 28,100, 69, 99, 79, 63, 59, 28, 28,  0, 57,  0,100,  2, 2
100,100, 68, 78, 37, 55, 13, 29, 11,  0, 51,  2, 41, 20,  0, 20, 6
 22, 98,  0, 75,  4, 18, 55,  0,100, 36, 84, 89, 34,100, 21, 46, 0
100,100, 14, 90, 74, 55, 79, 97, 37, 62,  0, 39, 36,  0, 39, 44, 8
 67, 97, 19, 74,  0, 30, 34,  0, 79, 32,100, 76, 58,100, 10, 73, 0
 86,100,  0, 95, 32, 56,100, 22, 30,  0,  5, 36, 80, 68, 52, 99, 8
 76, 82, 34, 77,  0, 84, 55,100,100, 85, 77, 52, 38, 25,  3,  0, 9
 34, 79, 66,100, 83, 72, 52, 51,100, 49, 91, 13, 43,  0,  0, 14, 3
  0, 68, 73, 45,100,  8, 20,  0, 37, 38, 92, 72, 85,100,  7, 81, 8
100, 92, 64,100, 37, 77, 20, 50, 11, 21, 22,  0, 35, 26,  0, 40, 6
 85,100, 56, 72, 42, 39, 55,  7,100,  0, 95, 30, 46, 37,  0, 23, 6
 28, 75, 57,100, 93, 82, 71, 51, 33, 26,  0,  0, 49,  5,100, 16, 2
 31, 88,  5, 50,  4,  8, 57,  0,100, 30,100, 71, 56,100,  0, 92, 0
 62, 45, 95, 75, 69,100,  4, 86,  0, 59, 74, 57,100, 32, 94,  0, 9
  0, 89, 41, 94, 87,100,100, 98, 80, 75, 68, 50, 59, 25, 60,  0, 7
 38, 73,  5, 64,  0, 15, 53,  0, 98, 34,100, 83, 47,100, 20, 60, 0
 56, 83, 28, 61, 90, 23, 24,  0, 22, 40,100, 72, 72,100,  0, 72, 8
 76, 85,  0,100, 16, 63, 81, 31, 69,  0,  6, 25, 34, 64,100, 95, 8
  3,100,  4, 83,  0, 56, 15, 31, 60, 28,100, 42, 91, 26, 88,  0, 4
 70,100, 46, 70, 12, 38,  0, 25, 52, 29,100, 41, 96, 38, 90,  0, 4
 65,100, 25, 93,  0, 56, 11, 16, 60,  0,100, 20, 50, 28,  9,  1, 6
100,100, 50, 98, 16, 67,  0, 30, 26,  0, 80,  8, 81, 34, 29, 24, 6
